図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,凶悪犯,認知件数,12567,13658,13064,11360,10124,9051,8630,8392,7624,7062,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,7604,8238,7924,7418,7125,6461,6229,6073,5503,5287,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,7726,8362,7519,7047,6459,5923,5634,5654,5021,4786,,,,,,,,,,,,,,,,,,,,,,,,,,
,粗暴犯,認知件数,76573,78759,76616,73772,76303,72908,69113,64140,63813,61897,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,40425,42296,41128,44037,49409,49656,47772,45719,45932,45095,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,49615,49530,46801,49156,54505,54163,51924,49225,49525,48582,,,,,,,,,,,,,,,,,,,,,,,,,,
,窃盗犯,認知件数,2377488,2235844,1981574,1725072,1534528,1429956,1379752,1308378,1229059,1152492,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,403872,433918,447950,429038,416281,395243,379839,361969,327786,305922,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,180725,191403,195151,194119,187654,180446,174738,175823,175214,168514,,,,,,,,,,,,,,,,,,,,,,,,,,
,知能犯,認知件数,62751,74754,99258,97500,84271,75999,73451,53222,44544,40894,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,39884,40574,36299,38151,37296,33878,36979,34147,29688,26433,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,13173,13653,14850,15053,15760,15264,15145,15433,14138,13262,,,,,,,,,,,,,,,,,,,,,,,,,,
,風俗犯,認知件数,12220,13034,12346,12085,11932,11184,10590,10219,10938,10966,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,5633,6165,6070,6422,6752,6462,6376,6478,6742,6842,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,5912,5886,5688,6373,6261,6279,6048,5951,6033,5881,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他の刑法犯,認知件数,312140,374087,379909,349504,333692,309738,284964,269481,248041,229640,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,94941,117128,128249,124437,123794,113658,96197,90313,81705,72956,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,90407,110768,119018,115207,113611,103502,86263,80802,72689,64606,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   年次区分,,,H24,H25,H26,H27,H28,H29,H30,R元,R2,R3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,認知件数,1403167,1314140,1212163,1098969,996120,915042,817338,748559,614231,568104,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,437610,394121,370568,357484,337066,327081,309409,294206,279185,264485,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,287021,262486,251115,239355,226376,215003,206094,192607,182582,175041,,,,,,,,,,,,,,,,,,,,,,,,,,
,凶悪犯,認知件数,7070,6757,6453,5618,5130,4840,4900,4706,4444,4149,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,5368,5128,5101,4777,4435,4193,4337,4240,4268,4007,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,4779,4647,4580,4409,4252,4067,4193,4225,4291,4093,,,,,,,,,,,,,,,,,,,,,,,,,,
,粗暴犯,認知件数,67356,66494,65814,64049,62043,60099,59139,56753,51829,49717,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,49220,48487,49990,49968,49855,49135,49349,47989,45764,43291,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,52577,51274,52618,52541,52291,51253,51786,50789,48108,45724,,,,,,,,,,,,,,,,,,,,,,,,,,
,窃盗犯,認知件数,1059131,981233,897259,807560,723148,655498,582141,532565,417291,381769,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,286636,254822,235519,226001,208646,204296,190544,180897,170687,161016,,,,,,,,,,,,,,,,,,,,,,,,,,
